name,email
SolidFire CI,openstack.ci@solidfire.com
StorPool OpenStack CI,openstack-ci@storpool.com
SwiftStack Cluster CI,openstack-ci@swiftstack.com
Synology DSM CI,cinder@synology.com
THSTACK CI,openstack-ci@thstack.com
Tail-f NCS CI,tobbe@tail-f.com
Tegile Storage CI,openstack.ci@tegile.com
Tintri CI,openstack-ci@tintri.com
UFCG OneView CI,ufcg-oneview-ci@lsd.ufcg.edu.br
VMWare Congress CI,congressci@gmail.com
VMware NSX CI,
Vanilla Bot,vanillabot@vanillastack.org
Vedams DotHillDriver CI,vedams_dothill_ci@vedams.com
Vedams-HPMSA FCISCSIDriver CI,vedams_hp_ci@vedams.com
Vedams-LenovoStorage FCISCSI CI,vedams_lenovo_ci@vedams.com
Violin Memory V6000 CI,vmem-openstack-ci@vmem.com
Virtuozzo CI,virtuozzo6-ci@virtuozzo.com
Virtuozzo Storage CI,vzstorage-ci@virtuozzo.com
Wherenow.org CI,jenkins@wherenow.org
X-IO ISE CI,
X-IO OpenStack CI,openstack-ci@x-io.com
XP Cinder CI,xp.cinder.ci@groups.ext.hpe.com
XenProject CI,openstack-ci@xenproject.org
Zadara Openstack CI,openstack-dev@zadara.com
nexenta-iscsi-ci,sbigelow92@gmail.com
oracle-zfssa-ci,OPENSTCK-CI-TEST_US_GRP@oracle.com
vArmour CI,openstack-ci-test@varmour.com
venkata krishnat,venkatakrishnat@vedams.com
vmwareapi CI run by SAP,openstack-ci@sap.com
z Systems KVM,zkvm-ci@linux.vnet.ibm.com
